NAME,fuelType,min_price,max_price,avg_price,med_price
LAND ROVER RANGE ROVER EVOQUE,Super,50500.0,58500.0,54500.0,54500.0
LAND ROVER RANGE ROVER EVOQUE,Super / Strom,61500.0,75600.0,68900.0,69600.0
LAND ROVER RANGE ROVER SPORT,Diesel,91700.0,128800.0,106385.71428571429,102500.0
LAND ROVER RANGE ROVER SPORT,Super,148600.0,205000.0,183750.0,190700.0
LAND ROVER RANGE ROVER SPORT,Super / Strom,104400.0,145500.0,119820.0,114600.0
LAND ROVER RANGE ROVER VELAR,Diesel,72200.0,99700.0,85075.0,84200.0
LAND ROVER RANGE ROVER VELAR,Super,90600.0,102000.0,96300.0,96300.0
LAND ROVER RANGE ROVER VELAR,Super / Strom,83200.0,101500.0,92166.66666666667,91800.0
LEAPMOTOR C10,Strom,37600.0,39100.0,38350.0,38350.0
LEAPMOTOR C10,Strom / Super Plus,37600.0,39100.0,38350.0,38350.0
LEAPMOTOR T03,Strom,18900,18900,18900.0,18900.0
LEXUS ES,Super / Strom,54350,69200,60575.0,59375.0
LEXUS LBX,Super / Strom,32990,46690,41434.444444444445,43940.0
LEXUS LM,Super / Strom,128500,154000,141250.0,141250.0
LEXUS NX,Super / Strom,53700,74990,66822.66666666667,67290.0
LEXUS RX,Super / Strom,74100,98850,83354.54545454546,82800.0
LEXUS RZ,Strom,55590,73190,64990.0,67290.0
LEXUS UX,Super / Strom,44250,63100,53310.0,49400.0
LOTUS ELETRE,Strom,99990,160990,126990.0,123490.0
LOTUS EMEYA,Strom,107990,160990,132390.0,129990.0
LUCID AIR,Strom,85000,250000,141450.0,115400.0
LUCID GRAVITY,Strom,99900,116900,108400.0,108400.0
LYNK & CO 01,Super / Strom,42995,46995,44995.0,44995.0
LYNK & CO 02,Strom,35995,39995,37995.0,37995.0
LYNK & CO 08,Super / Strom,55995,59995,57995.0,57995.0
MASERATI GRANTURISMO,Strom,198654.0,198654.0,198654.0,198654.0
MASERATI GRANTURISMO,Super,158374.0,198574.0,178474.0,178474.0
MASERATI GRECALE,Strom,111422.0,111422.0,111422.0,111422.0
MASERATI GRECALE,Super,83429.0,125353.0,99942.33333333333,91045.0
MAZDA 2,Super,28640.0,42890.0,35377.63888888889,35490.0
MAZDA 2,Super / Strom,24990.0,66800.0,50265.0,57700.0
MAZDA 3,Diesel,50850.0,70250.0,62231.25,62825.0
MAZDA 3,Super,28640.0,41390.0,34572.05128205128,34390.0
MAZDA 6,Strom,44900,48500,46700.0,46700.0
MAZDA CX-30,Super,29440,42890,36371.25,36390.0
MAZDA CX-60,Diesel,50850.0,66300.0,60150.0,62800.0
MAZDA CX-60,Super / Strom,48890.0,62850.0,57506.666666666664,59150.0
MAZDA CX-80,Diesel,59950.0,70250.0,66810.0,66800.0
MAZDA CX-80,Super / Strom,56250.0,66800.0,63210.0,63100.0
MAZDA MX-30,Strom / Super,35990,43240,40110.0,40490.0
MAZDA MX-5,Super,33190,42190,37790.0,37890.0
MERCEDES A-KLASSE,Diesel,39157.0,56590.0,47139.333333333336,46788.0
MERCEDES A-KLASSE,Super,37640.0,59387.0,47897.36842105263,47368.0
MERCEDES A-KLASSE,Super / Strom,44274.0,56977.0,50067.5,50161.5
MERCEDES A-KLASSE,Super Plus,59256.0,64903.0,61755.333333333336,61107.0
MERCEDES AMG GT,Super Plus,113413.0,226802.0,166427.38461538462,171901.0
MERCEDES AMG GT,Super Plus / Strom,212409.0,222191.0,218091.33333333334,219674.0
MERCEDES B-KLASSE,Diesel,40210.0,59107.0,48513.80952380953,47380.0
MERCEDES B-KLASSE,Super,38651.0,61208.0,48536.5,47701.0
MERCEDES B-KLASSE,Super / Strom,47273.0,60315.0,53098.71428571428,52158.0
MERCEDES C-KLASSE,Diesel,52521.0,77832.0,64476.67021276596,64730.5
MERCEDES C-KLASSE,Diesel / Strom,68907.0,85412.0,75933.57894736843,75464.0
MERCEDES C-KLASSE,Super,48028.0,70341.0,58930.046875,58661.0
MERCEDES C-KLASSE,Super / Strom,66527.0,81176.0,72864.13333333333,72185.5
MERCEDES C-KLASSE,Super Plus,59286.0,90815.0,68156.02272727272,65943.5
MERCEDES C-KLASSE,Super Plus / Strom,73429.0,134571.0,92778.4,80581.0
MERCEDES CITAN,Diesel,26208.0,38899.0,32641.46153846154,32784.0
MERCEDES CITAN,Strom,27875.0,35381.0,32102.090909090908,32630.0
MERCEDES CITAN,Super,25365.0,36765.0,31172.0,31646.0
MERCEDES CLA,Diesel,45577.0,64796.0,54000.90740740741,53529.5
MERCEDES CLA,Strom,55859.0,77882.0,65240.75,64861.0
MERCEDES CLA,Super,43286.0,66378.0,53313.898305084746,52187.0
MERCEDES CLA,Super / Strom,51021.0,64165.0,56577.22222222222,56444.5
MERCEDES CLA,Super Plus,66949.0,87114.0,75872.1,73179.0
MERCEDES CLA-KLASSE,Diesel,45577.0,64796.0,54000.90740740741,53529.5
MERCEDES CLA-KLASSE,Strom,55859.0,77882.0,65240.75,64861.0
MERCEDES CLA-KLASSE,Super,43286.0,66378.0,53313.898305084746,52187.0
MERCEDES CLA-KLASSE,Super / Strom,51021.0,64165.0,56577.22222222222,56444.5
MERCEDES CLA-KLASSE,Super Plus,66949.0,87114.0,75872.1,73179.0
MERCEDES CLE,Diesel,61499.0,80200.0,70487.875,70665.5
MERCEDES CLE,Super,54062.0,83484.0,68779.4827586207,68624.5
MERCEDES CLE,Super / Strom,69734.0,75928.0,72202.2,71329.0
MERCEDES CLE,Super Plus,81134.0,127431.0,98137.27777777778,93001.5
MERCEDES E-KLASSE,Diesel,58905.0,101234.0,77448.98245614035,76643.0
MERCEDES E-KLASSE,Diesel / Strom,71995.0,94778.0,84181.52777777778,84764.0
MERCEDES E-KLASSE,Strom,67187.0,145924.0,95615.4,94813.5
MERCEDES E-KLASSE,Super,61999.0,85317.0,74107.25,73926.0
MERCEDES E-KLASSE,Super / Strom,70091.0,94599.0,82290.16666666667,82021.0
MERCEDES E-KLASSE,Super Plus,81777.0,99199.0,91525.26666666666,91208.0
MERCEDES E-KLASSE,Super Plus / Strom,109242.0,142146.0,121089.25,116483.0
MERCEDES EQA,Strom,51610,66961,58833.09523809524,58560.0
MERCEDES EQB,Strom,53514,68734,60695.619047619046,60333.0
MERCEDES EQE,Strom,67187,145924,95615.4,94813.5
MERCEDES EQS,Strom,109551,247401,142136.47222222222,139611.0
MERCEDES EQV,Strom,59205,63472,61335.5,61332.5
MERCEDES G-KLASSE,Diesel,124355.0,160055.0,140428.9,141568.0
MERCEDES G-KLASSE,Strom,142622.0,167969.0,156757.0,159680.0
MERCEDES G-KLASSE,Super Plus,133578.0,199521.0,155735.41666666666,150324.0
"MERCEDES GL-KLASSE, GLS",Diesel,112140.0,134571.0,122901.64285714286,122338.0
